candidate_id,path,file_name,sheet,read_status,rows,cols,sampled_rows,candidate_treatment_columns,candidate_outcome_columns,candidate_baseline_columns,candidate_id_columns,columns_json,error
RCTC-00079,rct_expansion/provenance/manual_download_screen_2026_06_11/extracted/RCTC-00079/RCTC-00079/00-readme.txt,00-readme.txt,,unreadable,,,,,,,,,"Expected 11 fields in line 54, saw 19"
RCTC-00079,rct_expansion/provenance/manual_download_screen_2026_06_11/extracted/RCTC-00079/RCTC-00079/Lab-results.txt,Lab-results.txt,delimited,readable,4443.0,6.0,4443.0,,,,Patient No,"[{""name"": ""Patient No"", ""missing"": 0.0, ""unique"": 193, ""sample"": ""300|301|302|303""}, {""name"": ""Days after surgery"", ""missing"": 0.0, ""unique"": 238, ""sample"": ""107|156|56|219""}, {""name"": ""Value"", ""missing"": 0.0, ""unique"": 754, ""sample"": ""0.05|0.07|0.08|2.62""}, {""name"": ""Analysis"", ""missing"": 0.0, ""unique"": 7, ""sample"": ""TSH|FT3|FT4|Albumine""}, {""name"": ""Unit"", ""missing"": 0.0, ""unique"": 6, ""sample"": ""mIU/l|pmol/l|g/l|µmol/l""}, {""name"": ""Censored"", ""missing"": 0.0, ""unique"": 2, ""sample"": ""Yes|No""}]",
RCTC-00079,rct_expansion/provenance/manual_download_screen_2026_06_11/extracted/RCTC-00079/RCTC-00079/Levothyroxine-Dosage.txt,Levothyroxine-Dosage.txt,delimited,readable,607.0,5.0,607.0,,,Average daily dose,Patient No,"[{""name"": ""Patient No"", ""missing"": 0.0, ""unique"": 192, ""sample"": ""300|301|302|303""}, {""name"": ""Days after surgery"", ""missing"": 0.0, ""unique"": 165, ""sample"": ""0|22|113|176""}, {""name"": ""Average daily dose"", ""missing"": 0.0, ""unique"": 51, ""sample"": ""100.0|121.4|114.3|107.1""}, {""name"": ""Unit"", ""missing"": 0.0, ""unique"": 1, ""sample"": ""µg""}, {""name"": ""Drug"", ""missing"": 0.0, ""unique"": 1, ""sample"": ""Levothyroxine""}]",
RCTC-00079,rct_expansion/provenance/manual_download_screen_2026_06_11/extracted/RCTC-00079/RCTC-00079/MANIFEST.TXT,MANIFEST.TXT,delimited,readable,6.0,4.0,6.0,,,,,"[{""name"": ""consent-form.pdf"", ""missing"": 0.0, ""unique"": 6, ""sample"": ""Thyrogen-Dosage.txt|Patient-demographic.txt|data-privacy-assessment.pdf|Lab-results.txt""}, {""name"": ""(application/pdf)"", ""missing"": 0.0, ""unique"": 2, ""sample"": ""(text/plain)|(application/pdf)""}, {""name"": ""99551"", ""missing"": 0.0, ""unique"": 6, ""sample"": ""1987|5653|209531|115468""}, {""name"": ""bytes."", ""missing"": 0.0, ""unique"": 1, ""sample"": ""bytes.""}]",
RCTC-00079,rct_expansion/provenance/manual_download_screen_2026_06_11/extracted/RCTC-00079/RCTC-00079/Patient-demographic.txt,Patient-demographic.txt,delimited,readable,195.0,6.0,195.0,,,Height (cm):; Weight (kg):; Sex; Age at surgery (years),Patient No.,"[{""name"": ""Patient No."", ""missing"": 0.0, ""unique"": 195, ""sample"": ""300|301|302|303""}, {""name"": ""Height (cm):"", ""missing"": 0.0, ""unique"": 41, ""sample"": ""164|170|157|175""}, {""name"": ""Weight (kg):"", ""missing"": 0.0, ""unique"": 65, ""sample"": ""65|98|50|84""}, {""name"": ""Sex"", ""missing"": 0.0, ""unique"": 3, ""sample"": ""Female|Male|female""}, {""name"": ""Diagnosis"", ""missing"": 0.0, ""unique"": 3, ""sample"": ""Cancer|Goitre|Graves""}, {""name"": ""Age at surgery (years)"", ""missing"": 0.0, ""unique"": 58, ""sample"": ""60|74|28|63""}]",
RCTC-00079,rct_expansion/provenance/manual_download_screen_2026_06_11/extracted/RCTC-00079/RCTC-00079/Thyrogen-Dosage.txt,Thyrogen-Dosage.txt,delimited,readable,78.0,3.0,78.0,,,,Patient No.,"[{""name"": ""Patient No."", ""missing"": 0.0, ""unique"": 39, ""sample"": ""300|306|309|315""}, {""name"": ""Days after surgery"", ""missing"": 0.0, ""unique"": 41, ""sample"": ""57|58|67|68""}, {""name"": ""Drug"", ""missing"": 0.0, ""unique"": 1, ""sample"": ""Tyreotropin alfa""}]",
RCTC-00135,rct_expansion/provenance/manual_download_screen_2026_06_11/extracted/RCTC-00135/RCTC-00135/0054ec8c-afba-4633-ab07-91771571fbd6.csv,0054ec8c-afba-4633-ab07-91771571fbd6.csv,delimited,readable,63.0,26.0,63.0,Random numbers,Surgeon-Total Score; First Assistant-Total Score; Instrument Nurse-Total Score,,Location of Patient Hospital,"[{""name"": ""NO."", ""missing"": 0.0, ""unique"": 63, ""sample"": ""1|2|3|4""}, {""name"": ""Random numbers"", ""missing"": 0.0, ""unique"": 63, ""sample"": ""181|183|161|164""}, {""name"": ""Location of Patient Hospital"", ""missing"": 0.0, ""unique"": 5, ""sample"": ""Site_5|Site_2|Site_1|Site_4""}, {""name"": ""Operation"", ""missing"": 0.0, ""unique"": 2, ""sample"": ""Partial Nephrectomy|Radical prostatectomy""}, {""name"": ""Group"", ""missing"": 0.0, ""unique"": 2, ""sample"": ""Local Sugery Group|Telesurgery Group""}, {""name"": ""Surgeon-Total Score"", ""missing"": 0.175, ""unique"": 35, ""sample"": ""42.0|68.0|30.0|40.0""}, {""name"": ""Surgeon-Q1"", ""missing"": 0.175, ""unique"": 15, ""sample"": ""9.0|10.0|14.0|3.0""}, {""name"": ""Surgeon-Q2"", ""missing"": 0.175, ""unique"": 17, ""sample"": ""2.0|12.0|3.0|4.0""}, {""name"": ""Surgeon-Q3"", ""missing"": 0.175, ""unique"": 17, ""sample"": ""2.0|9.0|3.0|1.0""}, {""name"": ""Surgeon-Q4"", ""missing"": 0.175, ""unique"": 10, ""sample"": ""19.0|17.0|18.0|20.0""}, {""name"": ""Surgeon-Q5"", ""missing"": 0.175, ""unique"": 16, ""sample"": ""8.0|7.0|12.0|2.0""}, {""name"": ""Surgeon-Q6"", ""missing"": 0.175, ""unique"": 12, ""sample"": ""2.0|4.0|1.0|3.0""}, {""name"": ""First Assistant-Total Score"", ""missing"": 0.111, ""unique"": 35, ""sample"": ""42.0|35.0|24.0|36.0""}, {""name"": ""First Assistant-Q1"", ""missing"": 0.111, ""unique"": 16, ""sample"": ""10.0|4.0|0.0|3.0""}, {""name"": ""First Assistant-Q2"", ""missing"": 0.111, ""unique"": 17, ""sample"": ""2.0|4.0|0.0|6.0""}, {""name"": ""First Assistant-Q3"", ""missing"": 0.111, ""unique"": 16, ""sample"": ""2.0|4.0|0.0|3.0""}, {""name"": ""First Assistant-Q4"", ""missing"": 0.111, ""unique"": 13, ""sample"": ""18.0|17.0|20.0|8.0""}, {""name"": ""First Assistant-Q5"", ""missing"": 0.111, ""unique"": 15, ""sample"": ""8.0|3.0|0.0|7.0""}, {""name"": ""First Assistant-Q6"", ""missing"": 0.111, ""unique"": 13, ""sample"": ""2.0|3.0|0.0|9.0""}, {""name"": ""Instrument Nurse-Total Score"", ""missing"": 0.111, ""unique"": 38, ""sample"": ""40.0|32.0|24.0|34.0""}, {""name"": ""Instrument Nurse-Q1"", ""missing"": 0.111, ""unique"": 16, ""sample"": ""10.0|3.0|0.0|4.0""}, {""name"": ""Instrument Nurse-Q2"", ""missing"": 0.111, ""unique"": 17, ""sample"": ""2.0|3.0|0.0|4.0""}, {""name"": ""Instrument Nurse-Q3"", ""missing"": 0.111, ""unique"": 15, ""sample"": ""2.0|3.0|0.0|4.0""}, {""name"": ""Instrument Nurse-Q4"", ""missing"": 0.111, ""unique"": 11, ""sample"": ""17.0|20.0|19.0|10.0""}, {""name"": ""Instrument Nurse-Q5"", ""missing"": 0.111, ""unique"": 17, ""sample"": ""7.0|3.0|4.0|2.0""}, {""name"": ""Instrument Nurse-Q6"", ""missing"": 0.111, ""unique"": 11, ""sample"": ""2.0|3.0|0.0|5.0""}]",
RCTC-00135,rct_expansion/provenance/manual_download_screen_2026_06_11/extracted/RCTC-00135/RCTC-00135/10a9a5b8-3722-4388-8ce7-e2547edcbff9.csv,10a9a5b8-3722-4388-8ce7-e2547edcbff9.csv,delimited,readable,33.0,27.0,33.0,Random numbers; Reoperation intervention,Postoperative hospitalization days; Length of days in critical care; Intra and post-operative blood transfusion; Mortality; Blood loss(ml); Gleason Score; Postoperative Hemoglobin(g/L),Age(yr); T Stage; N Stage; M Stage; Preoperative Hemoglobin(g/L); Preoperative Total PSA(ng/mL),,"[{""name"": ""NO."", ""missing"": 0.0, ""unique"": 33, ""sample"": ""1|2|3|4""}, {""name"": ""Location of the hospital"", ""missing"": 0.0, ""unique"": 5, ""sample"": ""Site_4|Site_5|Site_2|Site_1""}, {""name"": ""Group"", ""missing"": 0.0, ""unique"": 2, ""sample"": ""Local surgery group|Telesurgery group""}, {""name"": ""Random numbers"", ""missing"": 0.0, ""unique"": 33, ""sample"": ""121|123|124|125""}, {""name"": ""Age(yr)"", ""missing"": 0.0, ""unique"": 3, ""sample"": ""70-79|50-59|60-69""}, {""name"": ""Operation Success£¨=1£© or Failure £¨=0£©"", ""missing"": 0.0, ""unique"": 1, ""sample"": ""1""}, {""name"": ""Postoperative hospitalization days"", ""missing"": 0.0, ""unique"": 8, ""sample"": ""4|11|5|6""}, {""name"": ""Length of days in critical care"", ""missing"": 0.0, ""unique"": 2, ""sample"": ""0|1""}, {""name"": ""Re-admission to hospital"", ""missing"": 0.0, ""unique"": 1, ""sample"": ""NO""}, {""name"": ""Reoperation intervention"", ""missing"": 0.0, ""unique"": 1, ""sample"": ""NO""}, {""name"": ""Intra and post-operative blood transfusion"", ""missing"": 0.0, ""unique"": 1, ""sample"": ""NO""}, {""name"": ""Mortality"", ""missing"": 0.0, ""unique"": 1, ""sample"": ""NO""}, {""name"": ""Diagnosis"", ""missing"": 0.0, ""unique"": 1, ""sample"": ""Prostate cancer""}, {""name"": ""Size of Prostate (mm3)"", ""missing"": 0.0, ""unique"": 33, ""sample"": ""57*47*45|46*34*34|38*33*34|47*33*33""}, {""name"": ""T Stage"", ""missing"": 0.0, ""unique"": 3, ""sample"": ""T2|T3b|T3a""}, {""name"": ""N Stage"", ""missing"": 0.0, ""unique"": 3, ""sample"": ""Nx|N0|N1""}, {""name"": ""M Stage"", ""missing"": 0.0, ""unique"": 3, ""sample"": ""Mx|M1b|M0""}, {""name"": ""Approach"", ""missing"": 0.0, ""unique"": 2, ""sample"": ""Extraperitoneal approach|Peritoneal approach""}, {""name"": ""Technique"", ""missing"": 0.0, ""unique"": 3, ""sample"": ""Intrafascial technique|Interfascial  technique|Extrafascial technique""}, {""name"": ""Lymphadenectomy"", ""missing"": 0.0, ""unique"": 2, ""sample"": ""NO|Yes""}, {""name"": ""Blood loss(ml)"", ""missing"": 0.0, ""unique"": 11, ""sample"": ""50|80|150|20""}, {""name"": ""operative time(min)"", ""missing"": 0.0, ""unique"": 22, ""sample"": ""141|172|115|210""}, {""name"": ""Surgical margin"", ""missing"": 0.0, ""unique"": 2, ""sample"": ""Positive|Negative""}, {""name"": ""Gleason Score"", ""missing"": 0.0, ""unique"": 7, ""sample"": ""4+3|3+4|Unable to grade|3+3""}, {""name"": ""Preoperative Hemoglobin(g/L)"", ""missing"": 0.0, ""unique"": 20, ""sample"": ""157|146|137|164""}, {""name"": ""Postoperative Hemoglobin(g/L)"", ""missing"": 0.0, ""unique"": 24, ""sample"": ""143|126|119|122""}, {""name"": ""Preoperative Total PSA(ng/mL)"", ""missing"": 0.0, ""unique"": 32, ""sample"": ""11.98|11.1|25.39|0.02""}]",
RCTC-00135,rct_expansion/provenance/manual_download_screen_2026_06_11/extracted/RCTC-00135/RCTC-00135/2c302a18-9006-4b76-9adb-a0fd95d58d49.xlsx,2c302a18-9006-4b76-9adb-a0fd95d58d49.xlsx,Clinical_and_Demographic_data_o,readable,2.0,13.0,2.0,Random numbers,(A)Anterior/Posterior descriptor,Age(yr),,"[{""name"": ""NO."", ""missing"": 0.0, ""unique"": 2, ""sample"": ""1|2""}, {""name"": ""Location of the hospital"", ""missing"": 0.0, ""unique"": 2, ""sample"": ""Site_5|Site_1""}, {""name"": ""Group"", ""missing"": 0.0, ""unique"": 2, ""sample"": ""Telesurgery Group|Local Surgery Group""}, {""name"": ""Random numbers"", ""missing"": 0.0, ""unique"": 2, ""sample"": ""505|27""}, {""name"": ""Age(yr)"", ""missing"": 0.0, ""unique"": 2, ""sample"": ""50-59|60-69""}, {""name"": ""Diagnosis"", ""missing"": 0.0, ""unique"": 1, ""sample"": ""Renal Cancer""}, {""name"": ""(R) Radius of tumor"", ""missing"": 0.0, ""unique"": 2, ""sample"": ""¡≥7cm|¡≤4cm""}, {""name"": ""(E)Exophytic property"", ""missing"": 0.0, ""unique"": 2, ""sample"": ""¡≥50%|<50%""}, {""name"": ""(N)Nearness of the deepest portion of the tumor to the collecting system"", ""missing"": 0.0, ""unique"": 2, ""sample"": ""4mm-7mm|¡≥7mm""}, {""name"": ""(A)Anterior/Posterior descriptor"", ""missing"": 0.0, ""unique"": 2, ""sample"": ""P|A""}, {""name"": ""(L)Location relative to the polar line"", ""missing"": 0.0, ""unique"": 2, ""sample"": "">50% of mass is \nacross polar line\n|Lesion \ncrosses polar \nline\n""}, {""name"": ""Hemoglobin"", ""missing"": 0.0, ""unique"": 2, ""sample"": ""139|142""}, {""name"": ""Blood creatinine"", ""missing"": 0.0, ""unique"": 2, ""sample"": ""73|58""}]",
RCTC-00135,rct_expansion/provenance/manual_download_screen_2026_06_11/extracted/RCTC-00135/RCTC-00135/89dd4bc9-b96d-4a6e-b389-415a67e38f08.csv,89dd4bc9-b96d-4a6e-b389-415a67e38f08.csv,delimited,readable,63.0,7.0,63.0,Random numbers,4 week follow-up; 6 week follow-up,,Location of Patient Hospital,"[{""name"": ""NO."", ""missing"": 0.0, ""unique"": 63, ""sample"": ""1|2|3|4""}, {""name"": ""Random numbers"", ""missing"": 0.0, ""unique"": 63, ""sample"": ""181|183|161|164""}, {""name"": ""Location of Patient Hospital"", ""missing"": 0.0, ""unique"": 5, ""sample"": ""Site_5|Site_2|Site_1|Site_4""}, {""name"": ""Operation"", ""missing"": 0.0, ""unique"": 2, ""sample"": ""Partial Nephrectomy|Radical prostatectomy""}, {""name"": ""Group"", ""missing"": 0.0, ""unique"": 2, ""sample"": ""Local Sugery Group|Telesurgery Group""}, {""name"": ""4 week follow-up"", ""missing"": 0.937, ""unique"": 3, ""sample"": ""65.Perineal discomfort|65.Shoulder pain|65. Lateral lower back pain""}, {""name"": ""6 week follow-up"", ""missing"": 0.921, ""unique"": 4, ""sample"": ""65. Perineal discomfort|4.myocardial infarction|65. Shoulder pain|65. Lateral lower back pain""}]",
