Trial_ID,Candidate_ID,Source_File,Copied_To,File_Size_Bytes
trial87,RCTC-03207,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-03207/12871_2016_279_MOESM1_ESM.xlsx,rct_expansion/raw_data/trial87/12871_2016_279_MOESM1_ESM.xlsx,39068
trial88,RCTC-05855,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-05855/40795_2016_111_MOESM1_ESM.xlsx,rct_expansion/raw_data/trial88/40795_2016_111_MOESM1_ESM.xlsx,42279
trial89,RCTC-03212,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-03212/12906_2016_1337_MOESM2_ESM.xlsx,rct_expansion/raw_data/trial89/12906_2016_1337_MOESM2_ESM.xlsx,92587
trial90,RCTC-00458,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-00458/12913_2016_1384_MOESM2_ESM.xlsx,rct_expansion/raw_data/trial90/12913_2016_1384_MOESM2_ESM.xlsx,43717
trial90,RCTC-00459,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-00459/12913_2016_1384_MOESM3_ESM.xlsx,rct_expansion/raw_data/trial90/12913_2016_1384_MOESM3_ESM.xlsx,19175
trial91,RCTC-03185,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-03185/12884_2017_1545_MOESM2_ESM.xls,rct_expansion/raw_data/trial91/12884_2017_1545_MOESM2_ESM.xls,157696
trial92,RCTC-04202,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-04202/12936_2021_3586_MOESM1_ESM.xlsx,rct_expansion/raw_data/trial92/12936_2021_3586_MOESM1_ESM.xlsx,54975
trial93,RCTC-07219,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-07219/PACT_30March2012.tab,rct_expansion/raw_data/trial93/PACT_30March2012.tab,5788831
trial93,RCTC-07219,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-07219/Wealth Index HL April 2011.tab,rct_expansion/raw_data/trial93/Wealth Index HL April 2011.tab,46412
trial93,RCTC-07219,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-07219/PACT main analysis final.do,rct_expansion/raw_data/trial93/PACT main analysis final.do,21747
trial94,RCTC-06852,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-06852/txoutcomeandbaselinedata_3ie.tab,rct_expansion/raw_data/trial94/txoutcomeandbaselinedata_3ie.tab,944180
trial94,RCTC-06852,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-06852/secondaryoutcomedata_3ie.tab,rct_expansion/raw_data/trial94/secondaryoutcomedata_3ie.tab,2157399
trial94,RCTC-06852,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-06852/Treatment Outcomes and Baseline Data Codebook_3IE.xlsx,rct_expansion/raw_data/trial94/Treatment Outcomes and Baseline Data Codebook_3IE.xlsx,26334
trial95,RCTC-03313,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-03313/Anonymised_Data_LaMaTuPe_2024-01-23.xlsx,rct_expansion/raw_data/trial95/Anonymised_Data_LaMaTuPe_2024-01-23.xlsx,87076
