Trial_ID,outcome_variable,outcome_role,arm,statistic,paper_value,paper_precision,cleaned_value,absolute_diff,tolerance,status,paper_source,notes
trial87,YP_delta_mbp_mmHg,primary,Fentanyl,mean,12.63,,12.625,0.005000000000000782,0.6315000000000001,pass,BMC Anesthesiology 2016 Table 2,
trial87,YP_delta_mbp_mmHg,primary,Fentanyl,sd,16.76,,16.759686655012185,0.0003133449878163219,0.8380000000000001,pass,BMC Anesthesiology 2016 Table 2,
trial87,YP_delta_mbp_mmHg,primary,Oxycodone,mean,5.51,,5.709677419354839,0.19967741935483918,0.2755,pass,BMC Anesthesiology 2016 Table 2,
trial87,YP_delta_mbp_mmHg,primary,Oxycodone,sd,18.29,,18.55656855561232,0.26656855561232007,0.9145,pass,BMC Anesthesiology 2016 Table 2,
trial87,YP_delta_hr_bpm,primary,Fentanyl,mean,18.47,,18.46875,0.0012499999999988631,0.9235,pass,BMC Anesthesiology 2016 Table 2,The Oxycodone source sheet has missing HR delta values; Fentanyl reproduces exactly and Oxycodone SD remains within tolerance.
trial87,YP_delta_hr_bpm,primary,Fentanyl,sd,13.74,,13.737127405496343,0.0028725945036569556,0.687,pass,BMC Anesthesiology 2016 Table 2,The Oxycodone source sheet has missing HR delta values; Fentanyl reproduces exactly and Oxycodone SD remains within tolerance.
trial87,YP_delta_hr_bpm,primary,Oxycodone,mean,18.71,,17.666666666666668,1.043333333333333,0.9355000000000001,fail,BMC Anesthesiology 2016 Table 2,The Oxycodone source sheet has missing HR delta values; Fentanyl reproduces exactly and Oxycodone SD remains within tolerance.
trial87,YP_delta_hr_bpm,primary,Oxycodone,sd,16.84,,16.373513795853,0.4664862041469995,0.8420000000000001,pass,BMC Anesthesiology 2016 Table 2,The Oxycodone source sheet has missing HR delta values; Fentanyl reproduces exactly and Oxycodone SD remains within tolerance.
trial87,YP_postoperative_pain_vas,primary,Fentanyl,median,5.0,,5.0,0.0,0.25,pass,BMC Anesthesiology 2016 Table 2,
trial87,YP_postoperative_pain_vas,primary,Oxycodone,median,3.0,,3.0,0.0,0.15000000000000002,pass,BMC Anesthesiology 2016 Table 2,
trial87,YS_rescue_analgesic,secondary,Fentanyl,event_count,17.0,,17.0,0.0,0.8500000000000001,pass,BMC Anesthesiology 2016 Table 2,
