Trial_ID,outcome_variable,outcome_role,arm,statistic,paper_value,paper_precision,paper_source,notes
trial87,YP_delta_mbp_mmHg,primary,Fentanyl,mean,12.63,,BMC Anesthesiology 2016 Table 2,
trial87,YP_delta_mbp_mmHg,primary,Fentanyl,sd,16.76,,BMC Anesthesiology 2016 Table 2,
trial87,YP_delta_mbp_mmHg,primary,Oxycodone,mean,5.51,,BMC Anesthesiology 2016 Table 2,
trial87,YP_delta_mbp_mmHg,primary,Oxycodone,sd,18.29,,BMC Anesthesiology 2016 Table 2,
trial87,YP_delta_hr_bpm,primary,Fentanyl,mean,18.47,,BMC Anesthesiology 2016 Table 2,The Oxycodone source sheet has missing HR delta values; Fentanyl reproduces exactly and Oxycodone SD remains within tolerance.
trial87,YP_delta_hr_bpm,primary,Fentanyl,sd,13.74,,BMC Anesthesiology 2016 Table 2,The Oxycodone source sheet has missing HR delta values; Fentanyl reproduces exactly and Oxycodone SD remains within tolerance.
trial87,YP_delta_hr_bpm,primary,Oxycodone,mean,18.71,,BMC Anesthesiology 2016 Table 2,The Oxycodone source sheet has missing HR delta values; Fentanyl reproduces exactly and Oxycodone SD remains within tolerance.
trial87,YP_delta_hr_bpm,primary,Oxycodone,sd,16.84,,BMC Anesthesiology 2016 Table 2,The Oxycodone source sheet has missing HR delta values; Fentanyl reproduces exactly and Oxycodone SD remains within tolerance.
trial87,YP_postoperative_pain_vas,primary,Fentanyl,median,5.0,,BMC Anesthesiology 2016 Table 2,
trial87,YP_postoperative_pain_vas,primary,Oxycodone,median,3.0,,BMC Anesthesiology 2016 Table 2,
trial87,YS_rescue_analgesic,secondary,Fentanyl,event_count,17.0,,BMC Anesthesiology 2016 Table 2,
trial87,YS_rescue_analgesic,secondary,Oxycodone,event_count,9.0,,BMC Anesthesiology 2016 Table 2,
trial88,YP_death_1y,primary,Nutrition education,event_count,5.0,,BMC Nutrition 2016 Table 2,
trial88,YP_death_1y,primary,Control,event_count,7.0,,BMC Nutrition 2016 Table 2,
trial88,YS_ami_1y,secondary,Nutrition education,event_count,5.0,,BMC Nutrition 2016 Table 2,
trial88,YS_ami_1y,secondary,Control,event_count,6.0,,BMC Nutrition 2016 Table 2,
trial88,YS_repeat_pci_1y,secondary,Nutrition education,event_count,4.0,,BMC Nutrition 2016 Table 2,
trial88,YS_repeat_pci_1y,secondary,Control,event_count,6.0,,BMC Nutrition 2016 Table 2,
trial88,YS_cabg_1y,secondary,Nutrition education,event_count,4.0,,BMC Nutrition 2016 Table 2,
trial88,YS_cabg_1y,secondary,Control,event_count,4.0,,BMC Nutrition 2016 Table 2,
trial88,YS_composite_event_1y,secondary,Nutrition education,event_count,11.0,,BMC Nutrition 2016 Table 2,
trial88,YS_composite_event_1y,secondary,Control,event_count,13.0,,BMC Nutrition 2016 Table 2,
trial89,X_moca_enrollment,baseline_primary,Nimodipine alone,mean,21.1,,BMC Complement Altern Med 2016 Table 2,
trial89,X_moca_enrollment,baseline_primary,Nimodipine alone,sd,4.3,,BMC Complement Altern Med 2016 Table 2,
trial89,X_moca_enrollment,baseline_primary,Acupuncture alone,mean,21.8,,BMC Complement Altern Med 2016 Table 2,
trial89,X_moca_enrollment,baseline_primary,Acupuncture alone,sd,3.5,,BMC Complement Altern Med 2016 Table 2,
trial89,X_moca_enrollment,baseline_primary,Nimodipine + acupuncture,mean,20.5,,BMC Complement Altern Med 2016 Table 2,
trial89,X_moca_enrollment,baseline_primary,Nimodipine + acupuncture,sd,3.9,,BMC Complement Altern Med 2016 Table 2,
trial89,YP_moca_3m,primary,Nimodipine alone,mean,23.5,,BMC Complement Altern Med 2016 Table 2,
trial89,YP_moca_3m,primary,Nimodipine alone,sd,4.6,,BMC Complement Altern Med 2016 Table 2,
trial89,YP_moca_3m,primary,Acupuncture alone,mean,25.4,,BMC Complement Altern Med 2016 Table 2,
trial89,YP_moca_3m,primary,Acupuncture alone,sd,4.1,,BMC Complement Altern Med 2016 Table 2,
trial89,YP_moca_3m,primary,Nimodipine + acupuncture,mean,24.5,,BMC Complement Altern Med 2016 Table 2,
trial89,YP_moca_3m,primary,Nimodipine + acupuncture,sd,3.3,,BMC Complement Altern Med 2016 Table 2,
trial89,YS_moca_followup_6m,secondary,Nimodipine alone,mean,24.2,,BMC Complement Altern Med 2016 Table 2,
trial89,YS_moca_followup_6m,secondary,Nimodipine alone,sd,4.6,,BMC Complement Altern Med 2016 Table 2,
trial89,YS_moca_followup_6m,secondary,Acupuncture alone,mean,26.1,,BMC Complement Altern Med 2016 Table 2,
trial89,YS_moca_followup_6m,secondary,Acupuncture alone,sd,3.6,,BMC Complement Altern Med 2016 Table 2,
trial89,YS_moca_followup_6m,secondary,Nimodipine + acupuncture,mean,26.0,,BMC Complement Altern Med 2016 Table 2,
trial89,YS_moca_followup_6m,secondary,Nimodipine + acupuncture,sd,2.8,,BMC Complement Altern Med 2016 Table 2,
trial90,YP_dppr_percent,primary,Intervention,mean,88.0,,BMC Health Services Research 2016 Table 6,DPPR is participant-level in the source file.
trial90,YP_dppr_percent,primary,Intervention,sd,13.31,,BMC Health Services Research 2016 Table 6,DPPR is participant-level in the source file.
trial90,YP_dppr_percent,primary,Control,mean,87.5,,BMC Health Services Research 2016 Table 6,DPPR is participant-level in the source file.
trial90,YP_dppr_percent,primary,Control,sd,20.75,,BMC Health Services Research 2016 Table 6,DPPR is participant-level in the source file.
trial90,YS_mpr_mean_percent,primary_supporting,Intervention,medication_row_weighted_mean,88.3,,BMC Health Services Research 2016 Table 5,Weighted from compact participant-level MPR sum/count components.
