Trial_ID,Original_Trial_ID,outcome_variable,outcome_role,arm,statistic,paper_value,paper_precision,paper_source,notes
B06,81,YP_delta_mqol_total,primary,Intervention effect,model_effect,-0.01,0.01,QPSS PLOS One 2025 results,One-year patient MQOL-E intervention effect from longitudinal SEM; compact cleaned endpoint cannot reproduce model estimate.
B07,82,YP_days_achieved_goal,primary,Restricted effectiveness sample,mean,NA,NA,MobileCoach JMIR 2022 results and analysis syntax,Primary outcome is days achieved goal among a restricted tailored-goal effectiveness subset; filter variables are not fully represented in cleaned data.
B08,83,YP_gvl_detectable_6m,primary,LNG IUD vs C-IUD,adjusted_odds_ratio,0.78,0.01,2IUDnCT PLOS Medicine 2020 abstract/results,"Paper target is adjusted odds ratio at 6 months, not a simple arm summary."
B08,83,YP_gvl_detectable_24m,primary,LNG IUD vs C-IUD,adjusted_odds_ratio,1.03,0.01,2IUDnCT PLOS Medicine 2020 abstract/results,"Paper target is adjusted odds ratio at 24 months, not a simple arm summary."
B09,84,YP_prep_adherence_percent_final,primary,Intervention effect,negative_binomial_effect,NA,NA,MPYA Lancet HIV 2021 methods/results,Primary adherence target is longitudinal electronic-monitor data analyzed by negative binomial models.
81,85,YP_nausea_present_24h,primary,Placebo,sum,67,1,Aprepitant Obesity Surgery 2024 abstract/results,24-hour nausea/PONV event count.
81,85,YP_nausea_present_24h,primary,Aprepitant,sum,22,1,Aprepitant Obesity Surgery 2024 abstract/results,24-hour nausea/PONV event count after combining aprepitant dose arms.
81,85,YP_nausea_present_24h,primary,Placebo,percent,33.7,0.1,Aprepitant Obesity Surgery 2024 abstract/results,24-hour nausea/PONV event percent among nonmissing outcomes.
81,85,YP_nausea_present_24h,primary,Aprepitant,percent,10.9,0.1,Aprepitant Obesity Surgery 2024 abstract/results,24-hour nausea/PONV event percent among nonmissing outcomes.
81,85,YS_vomiting_episodes_24h,secondary,Placebo,event_count,6,1,Aprepitant Obesity Surgery 2024 abstract/results,24-hour vomiting event count.
81,85,YS_vomiting_episodes_24h,secondary,Aprepitant,event_count,1,1,Aprepitant Obesity Surgery 2024 abstract/results,24-hour vomiting event count.
81,85,YS_rescue_medication_24h,secondary,Placebo,event_count,11,1,Aprepitant Obesity Surgery 2024 abstract/results,24-hour rescue-medication event count.
81,85,YS_rescue_medication_24h,secondary,Aprepitant,event_count,5,1,Aprepitant Obesity Surgery 2024 abstract/results,24-hour rescue-medication event count.
82,86,YP_postoperative_atrial_fibrillation,primary,Overall,sum,88,1,Tocovid RCM 2022 Table 2,Overall postoperative atrial fibrillation count.
82,86,YP_postoperative_atrial_fibrillation,primary,Overall,percent,35.2,0.1,Tocovid RCM 2022 Table 2,Overall postoperative atrial fibrillation percent.
B10,87,YP_delta_weight_kg_x3_x1,primary,MyPlate,mean,-0.34,0.01,MyPlate Annals of Family Medicine 2023 abstract/results,Reported adjusted body-weight change in kg.
B10,87,YP_delta_weight_kg_x3_x1,primary,Calorie Counting,mean,-0.75,0.01,MyPlate Annals of Family Medicine 2023 abstract/results,Reported adjusted body-weight change in kg.
B11,88,YP_mypas_t1,primary,VR vs Control,mean,NA,NA,Dataset and registry search,No associated main results publication found.
