candidate_id,archive_path,archive_member,file_name,declared_size,local_path,extract_status,extract_error
RCTC-02392,rct_expansion/provenance/predownload_verification_2026_06_09/downloads/RCTC-02392/1. Manuscript.zip,1. Manuscript/MobileCoach 1 JMIR.pdf,MobileCoach 1 JMIR.pdf,436765,,skipped_non_data,
RCTC-02392,rct_expansion/provenance/predownload_verification_2026_06_09/downloads/RCTC-02392/2. Used Materials.zip,2. Used Materials/See ReadMeFile.txt,See ReadMeFile.txt,0,rct_expansion/provenance/predownload_verification_2026_06_09/extracted/RCTC-02392/2. Used Materials/2. Used Materials__See ReadMeFile.txt,extracted,
RCTC-02392,rct_expansion/provenance/predownload_verification_2026_06_09/downloads/RCTC-02392/3. Anonymized Raw Data.zip,3. Anonymized Raw Data/Baseline survey Excel files/Baseline survey all responses 200424.xlsx,Baseline survey all responses 200424.xlsx,77124,rct_expansion/provenance/predownload_verification_2026_06_09/extracted/RCTC-02392/3. Anonymized Raw Data/3. Anonymized Raw Data__Baseline survey Excel files__Baseline survey all responses 200424.xlsx,extracted,
RCTC-02392,rct_expansion/provenance/predownload_verification_2026_06_09/downloads/RCTC-02392/3. Anonymized Raw Data.zip,3. Anonymized Raw Data/Baseline survey Excel files/Baseline survey only completed responses 200424.xlsx,Baseline survey only completed responses 200424.xlsx,74561,rct_expansion/provenance/predownload_verification_2026_06_09/extracted/RCTC-02392/3. Anonymized Raw Data/3. Anonymized Raw Data__Baseline survey Excel files__Baseline survey only completed responses 200424.xlsx,extracted,
RCTC-02392,rct_expansion/provenance/predownload_verification_2026_06_09/downloads/RCTC-02392/3. Anonymized Raw Data.zip,3. Anonymized Raw Data/Baseline survey SPSS Files/Baseline survey all responses 200424 SPSS data file.sav,Baseline survey all responses 200424 SPSS data file.sav,123963,rct_expansion/provenance/predownload_verification_2026_06_09/extracted/RCTC-02392/3. Anonymized Raw Data/3. Anonymized Raw Data__Baseline survey SPSS Files__Baseline survey all responses 200424 SPSS data file.sav,extracted,
RCTC-02392,rct_expansion/provenance/predownload_verification_2026_06_09/downloads/RCTC-02392/3. Anonymized Raw Data.zip,3. Anonymized Raw Data/Baseline survey SPSS Files/Baseline survey only completed responses 200424 SPSS data file.sav,Baseline survey only completed responses 200424 SPSS data file.sav,119371,rct_expansion/provenance/predownload_verification_2026_06_09/extracted/RCTC-02392/3. Anonymized Raw Data/3. Anonymized Raw Data__Baseline survey SPSS Files__Baseline survey only completed responses 200424 SPSS data file.sav,extracted,
RCTC-02392,rct_expansion/provenance/predownload_verification_2026_06_09/downloads/RCTC-02392/3. Anonymized Raw Data.zip,3. Anonymized Raw Data/Baseline survey SPSS Files/survey_662455_SPSS_data_file-2.dat,survey_662455_SPSS_data_file-2.dat,81607,,skipped_non_data,
RCTC-02392,rct_expansion/provenance/predownload_verification_2026_06_09/downloads/RCTC-02392/3. Anonymized Raw Data.zip,3. Anonymized Raw Data/Baseline survey SPSS Files/survey_662455_SPSS_data_file.dat,survey_662455_SPSS_data_file.dat,86074,,skipped_non_data,
RCTC-02392,rct_expansion/provenance/predownload_verification_2026_06_09/downloads/RCTC-02392/3. Anonymized Raw Data.zip,3. Anonymized Raw Data/Baseline survey SPSS Files/survey_662455_SPSS_syntax_file-2.sps,survey_662455_SPSS_syntax_file-2.sps,32476,,skipped_non_data,
RCTC-02392,rct_expansion/provenance/predownload_verification_2026_06_09/downloads/RCTC-02392/3. Anonymized Raw Data.zip,3. Anonymized Raw Data/Baseline survey SPSS Files/survey_662455_SPSS_syntax_file.sps,survey_662455_SPSS_syntax_file.sps,32471,,skipped_non_data,
