candidate_id,source_kind,local_path,file_name,sheet_or_object,read_status,read_error,n_rows_sampled,n_cols,columns_sample,id_candidates,treatment_candidates,treatment_levels_sample,outcome_candidates,numeric_col_count
RCTC-02120,download,rct_expansion/provenance/predownload_verification_2026_06_09/downloads/RCTC-02120/QPSS_RCTData.inp,QPSS_RCTData.inp,,skipped_unsupported_extension,,,,,,,,,
RCTC-02120,download,rct_expansion/provenance/predownload_verification_2026_06_09/downloads/RCTC-02120/QPSS_RCTData.tab,QPSS_RCTData.tab,delimited,readable,,1000,93,MPLUSID; Site; Income; BornCan; Gender2; QOLFA; QOLF1; QOLF2; QOLF3; QOLF4; QOLF5; QOLF6; QOLF7; QOLF8; QOLF9; QOLF10; QOLF11; QOLF12; QOLF13; QOLF14; QOLF15; QOLF16; QOLF17; MQOLA; MQOL1a; MQOL2; MQOL3; MQOL4; MQOL5; MQOL6; MQOL7; MQOL8; MQOL9; MQOL10; MQOL11; MQOL12; MQOL13; MQOL14; MQOL15; MQOL16; MQOL17; MQOL18; MQOL19; MQOL20; MQOL21; MQOL22; Group; Aboriginal; North_American; Brit_Isles; French; Euro_West; Euro_South; Euro_East; Euro_North; Euro_Other; Caribbean; South_American; African; Asian; Asia_East; Asia_SE; Asia_South; Asia_Mid_Central; Asia_Other; Oceanian; Ethnicity_other; Age_Valid; MSDATA_P_type; Marital_4C; Educ_valid_4C; ICD_01; ICD_02; ICD_03; ICD_04; ICD_05; ICD_06; ICD_08; ICD_09; ICD_10,,Group,Group: 2 | 3,QOLFA; QOLF1; QOLF2; QOLF3; QOLF4; QOLF5; QOLF6; QOLF7; QOLF8; QOLF9; QOLF10; QOLF11; QOLF12; QOLF13; QOLF14; QOLF15; QOLF16; QOLF17; MQOLA; MQOL1a; MQOL2; MQOL3; MQOL4; MQOL5; MQOL6; MQOL7; MQOL8; MQOL9; MQOL10; MQOL11; MQOL12; MQOL13; MQOL14; MQOL15; MQOL16; MQOL17; MQOL18; MQOL19; MQOL20; MQOL21,93
RCTC-02120,download,rct_expansion/provenance/predownload_verification_2026_06_09/downloads/RCTC-02120/mqol_mi.out,mqol_mi.out,,skipped_unsupported_extension,,,,,,,,,
RCTC-02120,download,rct_expansion/provenance/predownload_verification_2026_06_09/downloads/RCTC-02120/mqol_mi_scores.out,mqol_mi_scores.out,,skipped_unsupported_extension,,,,,,,,,
RCTC-02120,download,rct_expansion/provenance/predownload_verification_2026_06_09/downloads/RCTC-02120/mqol_tot_bysite.out,mqol_tot_bysite.out,,skipped_unsupported_extension,,,,,,,,,
RCTC-02120,download,rct_expansion/provenance/predownload_verification_2026_06_09/downloads/RCTC-02120/mqol_wideformat.out,mqol_wideformat.out,,skipped_unsupported_extension,,,,,,,,,
RCTC-02120,download,rct_expansion/provenance/predownload_verification_2026_06_09/downloads/RCTC-02120/qolltif_mi.out,qolltif_mi.out,,skipped_unsupported_extension,,,,,,,,,
RCTC-02120,download,rct_expansion/provenance/predownload_verification_2026_06_09/downloads/RCTC-02120/qolltif_mi_scores.out,qolltif_mi_scores.out,,skipped_unsupported_extension,,,,,,,,,
RCTC-02120,download,rct_expansion/provenance/predownload_verification_2026_06_09/downloads/RCTC-02120/qolltif_tot_bysite.out,qolltif_tot_bysite.out,,skipped_unsupported_extension,,,,,,,,,
RCTC-02120,download,rct_expansion/provenance/predownload_verification_2026_06_09/downloads/RCTC-02120/qolltif_wideformat.out,qolltif_wideformat.out,,skipped_unsupported_extension,,,,,,,,,
