Trial_ID,Original_Trial_ID,Candidate_ID,Primary_Publication_Found,Paper_Name,Journal,Publication_Year,Paper_DOI,Paper_Link,Dataset_DOI,Repository,Sample_Size_Paper,Cleaned_N,Arms_Paper,Control_Group,Primary_Outcome_From_Publication,Cleaned_Primary_Outcome,Statistical_Model,Randomization_Scheme,Publication_Review_Status,Outcome_Audit_Status,Decision,Review_Notes,New_Trial_ID,Backup_ID,Final_Status
B06,81,RCTC-02120,TRUE,Quality of Life Assessment and Practice Support System randomized trial,PLOS One,2025,10.1371/journal.pone.0320306,https://doi.org/10.1371/journal.pone.0320306,10.5683/sp3/a4jg2r,Borealis,442 randomized patients,442,2,Control/usual care arm in paper,Patient MQOL-E at one year; caregiver QOLLTI-F secondary,YP_mqol_total_final; YP_delta_mqol_total,Longitudinal structural equation model with missing-at-random handling,Individual randomization,primary_publication_reviewed,not_auditable_model_target,not_analysis_ready_after_audit,Paper reports model-based one-year intervention effects; compact cleaned endpoint/delta summaries do not reproduce the longitudinal SEM target.,NA,B06,backup
B07,82,RCTC-02392,TRUE,MobileCoach physical activity financial incentives randomized trial,JMIR mHealth and uHealth,2022,10.2196/38339,https://doi.org/10.2196/38339,10.34894/g3koyt,DataverseNL,96 in effectiveness analysis; 65 in goal-tailoring primary subset,133,5,No-incentive/control group,"Number of days, from 0 to 20, that the tailored step goal was achieved",YP_days_achieved_goal,Restricted effectiveness analysis with exclusions for untailored goals and selected participants,Individual randomization,primary_publication_reviewed,analysis_filter_not_reconstructed,not_analysis_ready_after_audit,"The source includes syntax for the paper filter, but the compact cleaned data do not contain all paper filter variables and include 133 participants.",NA,B07,backup
B08,83,RCTC-01479,TRUE,Effects of copper intrauterine device versus levonorgestrel intrauterine system on genital HIV viral load,PLOS Medicine,2020,10.1371/journal.pmed.1003110,https://doi.org/10.1371/journal.pmed.1003110,10.7910/dvn/ntn7ky,Harvard Dataverse,199 randomized women,199,2,Copper IUD,Detectable genital HIV viral load at 6 and 24 months,YP_gvl_detectable_6m; YP_gvl_detectable_24m; YP_gvl_detectable_any_6_24m,Adjusted generalized estimating equation/as-treated models,Individual 1:1 randomization,primary_publication_reviewed,model_not_reproduced,not_analysis_ready_after_audit,"Cleaned data contain the gVL outcomes, but the paper primary target is an adjusted longitudinal odds ratio not reproduced by the compact audit.",NA,B08,backup
B09,84,RCTC-01467,TRUE,Monitoring PrEP in Young Adult women randomized trial,Lancet HIV,2021,10.1016/S2352-3018(20)30307-6,https://doi.org/10.1016/S2352-3018(20)30307-6,10.7910/dvn/ppqksw,Harvard Dataverse,348 randomized participants,348,2,Standard adherence support/control arm,PrEP adherence over 24 months by real-time electronic monitoring,YP_prep_adherence_percent_final,Negative binomial models adjusted for site and quarterly visit among PrEP collectors,Individual randomization,primary_publication_reviewed,not_auditable_longitudinal_target,not_analysis_ready_after_audit,The paper primary target is visit-level longitudinal adherence; the preliminary cleaned table keeps a compact final adherence percentage.,NA,B09,backup
81,85,RCTC-01535,TRUE,Aprepitant for prevention of postoperative nausea and vomiting after laparoscopic sleeve gastrectomy,Obesity Surgery,2024,10.1007/s11695-024-07129-0,https://doi.org/10.1007/s11695-024-07129-0,10.7910/dvn/cf2lgp,Harvard Dataverse,400 with 24-hour outcome denominators,401,3 source arms; paper combines aprepitant arms,Placebo,Nausea/PONV at 24 hours,YP_nausea_present_24h,Arm-level count/rate comparisons,Individual randomization,primary_publication_reviewed,primary_target_pass,analysis_ready,The paper's 24-hour nausea/PONV counts reproduce from nonmissing source outcomes after combining aprepitant dose arms.,81,NA,active
82,86,RCTC-01411,TRUE,Effect of Tocovid on postoperative atrial fibrillation after CABG,Reviews in Cardiovascular Medicine,2022,10.31083/j.rcm2304122,https://doi.org/10.31083/j.rcm2304122,10.7910/dvn/xgdwg5,Harvard Dataverse,250 randomized patients,250,2,Placebo/control arm,Occurrence of postoperative atrial fibrillation,YP_postoperative_atrial_fibrillation,Arm-level and overall event summaries,Individual randomization,primary_publication_reviewed,primary_target_pass,analysis_ready,The overall POAF event count and rate reproduce exactly from the cleaned binary outcome.,82,NA,active
B10,87,RCTC-01501,TRUE,Randomized comparative effectiveness trial of MyPlate versus calorie counting among Latino adults,Annals of Family Medicine,2023,10.1370/afm.2964,https://doi.org/10.1370/afm.2964,10.7910/dvn/jo6og9,Harvard Dataverse,261 randomized participants,261,2,Calorie Counting comparator,"Satiation/satiety, body weight, and waist circumference",Patient-centered survey outcomes; weight and waist outcomes,Adjusted comparative effectiveness models,Individual randomization,primary_publication_reviewed,adjusted_target_not_reproduced,not_analysis_ready_after_audit,"Arm labels were verified in the codebook, but the paper's adjusted weight target is not reproduced by simple cleaned means.",NA,B10,backup
B11,88,RCTC-01824,FALSE,Immersive virtual reality exposure for reducing preoperative anxiety in children,NA,NA,NA,https://doi.org/10.17632/psxdxfw37t.1,10.17632/psxdxfw37t.1,Mendeley Data,No main publication found,72,2,Control,Protocol/registry mYPAS outcome only,YP_mypas_t1; YP_delta_mypas_t1_t0,NA,Individual randomization indicated by dataset/registry,no_primary_publication_found,no_publication_audit_possible,exclude_no_primary_publication,"I found dataset and registry information but no associated main results publication, so no primary-publication audit can be completed.",NA,B11,backup
83,89,RCTC-00485,TRUE,Effects of a web-based evolutionary mismatch-framed intervention targeting physical activity and diet,International Journal of Behavioral Medicine,2019,10.1007/s12529-019-09821-3,https://doi.org/10.1007/s12529-019-09821-3,10.15125/bath-01245,University of Bath,59 completed participants,59,2,Control,Daily physical activity level and total energy intake at 12 weeks,YP_delta_pal_t3_t1; YP_delta_total_energy_intake_t3_t1,ANCOVA/adjusted mean difference with descriptive change summaries,Individual randomization,primary_publication_reviewed,primary_target_pass_with_rounding_note,analysis_ready,Primary PAL and total-energy-intake change summaries reproduce the table values; one near-zero rounded PAL row is flagged by strict 5 percent tolerance.,83,NA,active
B12,90,RCTC-03815,TRUE,"Feasibility, usability and acceptance of Brain-IT pilot feasibility RCT",Frontiers in Aging Neuroscience,2023,10.3389/fnagi.2023.1163388,https://doi.org/10.3389/fnagi.2023.1163388,10.5281/zenodo.7428377,Zenodo,18 included; 16 randomized into usual care/exergame in current cleaned file,16,2 randomized arms plus feasibility records,Usual care,"Recruitment, attrition, adherence, compliance, SUS, and acceptance feasibility outcomes",YP_delta_qmci_score_post_pre; YP_qmci_score_post,Feasibility/usability descriptive summaries,Individual pilot randomization,primary_publication_reviewed,cleaned_primary_mismatch,needs_reclean_to_publication_primary,The current cleaned file uses secondary cognitive Qmci outcomes and excludes two feasibility records; it needs recleaning around the paper primary feasibility outcomes.,NA,B12,backup
