Trial_ID,audit_source,audit_type,candidate_id,Original_Trial_ID,outcome_variable,outcome_role,arm,statistic,paper_value,paper_precision,cleaned_value,absolute_diff,tolerance,status,paper_source,notes
100,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00170,,Treatment,allocation,Control,n,,,45.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
100,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00170,,Treatment,allocation,rhTM,n,,,47.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
100,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00170,,YP_death_28d,primary,Control,mean,,,0.2,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
100,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00170,,YP_death_28d,primary,rhTM,mean,,,0.1702127659574468,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
101,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00173,,Treatment,allocation,Geriatric intervention,n,,,205.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
101,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00173,,Treatment,allocation,Standard care,n,,,212.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
101,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00173,,YP_eq5d_pain_3m,primary,Geriatric intervention,mean,,,1.769736842105263,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
101,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00173,,YP_eq5d_pain_3m,primary,Standard care,mean,,,1.7666666666666666,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
102,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00175,,Treatment,allocation,Flucloxacillin,n,,,203.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
102,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00175,,Treatment,allocation,Flucloxacillin + clindamycin,n,,,207.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
102,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00175,,YP_improved_day5,primary,Flucloxacillin,mean,,,0.8717948717948718,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
102,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00175,,YP_improved_day5,primary,Flucloxacillin + clindamycin,mean,,,0.813953488372093,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
103,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00180,,Treatment,allocation,General ward,n,,,86.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
