Trial_ID,Study_Name,PubMed_URL,PMID,PMCID,Publication_DOI,Full_Text_URL,PDF_Path,PDF_Status,Notes
51,The impact of sleep hygiene education and lavender essential oil inhalation on the sleep quality and overall well-being of athletes who undergo late-evening training: a randomized controlled trial,,,,10.12688/f1000research.150977.1,https://f1000research.com/articles/13-720/v1,rct_expansion/publications/trial51/trial51_f1000_13_720.pdf,Downloaded,Exact-title PubMed API search returned Count=0 on 2026-06-08; publisher F1000Research PDF was freely available and downloaded.
52,Efficacy of tenapanor in managing hyperphosphatemia and constipation in hemodialysis patients: A randomized controlled trial,https://pubmed.ncbi.nlm.nih.gov/40526762/,40526762,PMC12173349,10.1371/journal.pone.0319319,https://pmc.ncbi.nlm.nih.gov/articles/PMC12173349/,rct_expansion/publications/trial52/trial52_PMC12173349_tenapanor.pdf,Downloaded,PubMed/PMC match found; PLOS printable PDF downloaded.
53,Analgesic Effect of Ultrasound-Guided Anterior Quadratus Lumborum Block at the L2 Level in Patients Undergoing Laparoscopic Partial Nephrectomy: A Single-Center Randomized Controlled Trial,https://pubmed.ncbi.nlm.nih.gov/36569463/,36569463,PMC9779996,10.1155/2022/8958859,https://pmc.ncbi.nlm.nih.gov/articles/PMC9779996/,rct_expansion/publications/trial53/trial53_PMC9779996_quadratus_lumborum.pdf,Downloaded,Official Wiley/Hindawi and NCBI OA package attempts returned non-PDF/error responses; openly indexed Semantic Scholar PDF mirror was downloaded and verified as PDF.
54,Effect of Vaginal Spheres and Pelvic Floor Exercises on Female Sexual Function in Women with Urinary Incontinence: A Randomized Controlled Trial (Secondary Analysis),https://pubmed.ncbi.nlm.nih.gov/41186701/,41186701,PMC13086651,10.1007/s00192-025-06404-7,https://pmc.ncbi.nlm.nih.gov/articles/PMC13086651/,rct_expansion/publications/trial54/trial54_PMC13086651_vaginal_spheres.pdf,Downloaded,PubMed/PMC match found; Springer open-access PDF downloaded.
55,Taking Charge After Acute Exacerbation of Chronic Obstructive Pulmonary Disease: A Randomized Controlled Feasibility Trial of a Psychologically Informed Self-Management Intervention,https://pubmed.ncbi.nlm.nih.gov/36945705/,36945705,PMC10024904,10.2147/COPD.S393644,https://pmc.ncbi.nlm.nih.gov/articles/PMC10024904/,rct_expansion/publications/trial55/trial55_PMC10024904_taking_charge_copd.pdf,Downloaded,"PubMed/PMC match found; direct PMC PDF route returned a browser-check page, so the DovePress publisher PDF was downloaded."
56,Transcranial direct current stimulation and attention skills in burnout patients: a randomized blinded sham-controlled pilot study,https://pubmed.ncbi.nlm.nih.gov/33363715/,33363715,PMC7737710,10.12688/f1000research.21831.2,https://pmc.ncbi.nlm.nih.gov/articles/PMC7737710/,,Link recorded,PubMed/PMC match found; publication link recorded for the active expansion.
57,Functional imagery training versus motivational interviewing for weight loss: a randomised controlled trial of brief individual interventions for overweight and obesity,https://pubmed.ncbi.nlm.nih.gov/30185920/,30185920,,10.1038/s41366-018-0122-1,https://www.nature.com/articles/s41366-018-0122-1,,Link recorded,PubMed match found; publisher full-text link recorded.
58,Transcranial direct current stimulation and cognitive training in the treatment of cognitive deficit in schizophrenia: a randomized controlled trial,https://pubmed.ncbi.nlm.nih.gov/41495691/,41495691,PMC12857147,10.1186/s12888-025-07749-5,https://pmc.ncbi.nlm.nih.gov/articles/PMC12857147/,,Link recorded,PubMed/PMC match found; publication link recorded for the active expansion.
59,Acute effects of tissue flossing on ankle range of motion in athletes with limited ankle dorsiflexion: a randomized controlled trial,https://pubmed.ncbi.nlm.nih.gov/41423614/,41423614,PMC12750873,10.1186/s13102-025-01484-w,https://pmc.ncbi.nlm.nih.gov/articles/PMC12750873/,,Link recorded,PubMed/PMC match found; publication link recorded for the active expansion.
60,Interferential current stimulation during dental facial treatment improves masticatory function,https://pubmed.ncbi.nlm.nih.gov/41577936/,41577936,PMC12901122,10.1038/s41598-026-36307-6,https://pmc.ncbi.nlm.nih.gov/articles/PMC12901122/,,Link recorded,PubMed/PMC match found; publication link recorded for the active expansion.
61,"A Dietary Supplement Containing Cinnamon, Chromium and Carnosine Decreases Fasting Plasma Glucose and Increases Lean Mass in Overweight or Obese Pre-Diabetic Subjects: A Randomized, Placebo-Controlled Trial",https://pubmed.ncbi.nlm.nih.gov/26406981/,26406981,PMC4583280,10.1371/journal.pone.0138646,https://pmc.ncbi.nlm.nih.gov/articles/PMC4583280/,rct_expansion/publications/trial61/trial61_plos_cinnamon.pdf,Downloaded,PubMed/PMC match found; PLOS printable PDF downloaded.
62,Late Conversion of Kidney Transplant Recipients from Ciclosporin to Tacrolimus Improves Graft Function: Results from a Randomized Controlled Trial,https://pubmed.ncbi.nlm.nih.gov/26270340/,26270340,PMC4535983,10.1371/journal.pone.0135674,https://pmc.ncbi.nlm.nih.gov/articles/PMC4535983/,rct_expansion/publications/trial62/trial62_plos_kidney.pdf,Downloaded,PubMed/PMC match found; PLOS printable PDF downloaded.
63,High-intensity interval training versus progressive high-intensity circuit resistance training on endothelial function and cardiorespiratory fitness in heart failure: A preliminary randomized controlled trial,https://pubmed.ncbi.nlm.nih.gov/34597330/,34597330,PMC8486136,10.1371/journal.pone.0257607,https://pmc.ncbi.nlm.nih.gov/articles/PMC8486136/,rct_expansion/publications/trial63/trial63_plos_hiit.pdf,Downloaded,PubMed/PMC match found; PLOS printable PDF downloaded.
64,"Low-dose, non-supervised, health insurance initiated exercise for the treatment and prevention of chronic low back pain in employees. Results from a randomized controlled trial",https://pubmed.ncbi.nlm.nih.gov/28662094/,28662094,PMC5490969,10.1371/journal.pone.0178585,https://pmc.ncbi.nlm.nih.gov/articles/PMC5490969/,rct_expansion/publications/trial64/trial64_plos_low_back.pdf,Downloaded,PubMed/PMC match found; PLOS printable PDF downloaded.
65,Can transcranial direct current stimulation (tDCS) over the motor cortex increase endurance running performance? a randomized crossover-controlled trial,https://pubmed.ncbi.nlm.nih.gov/39637186/,39637186,PMC11620604,10.1371/journal.pone.0312084,https://pmc.ncbi.nlm.nih.gov/articles/PMC11620604/,rct_expansion/publications/trial65/trial65_plos_tdcs_running.pdf,Downloaded,PubMed/PMC match found; PLOS printable PDF downloaded.
66,Ashtanga-Based Yoga Therapy Increases the Sensory Contribution to Postural Stability in Visually-Impaired Persons at Risk for Falls as Measured by the Wii Balance Board: A Pilot Randomized Controlled Trial,https://pubmed.ncbi.nlm.nih.gov/26107256/,26107256,PMC4479589,10.1371/journal.pone.0129646,https://pmc.ncbi.nlm.nih.gov/articles/PMC4479589/,rct_expansion/publications/trial66/trial66_plos_yoga.pdf,Downloaded,PubMed/PMC match found; PLOS printable PDF downloaded.
67,Middle molecule clearance with high cut-off dialyzer versus high-flux dialyzer using continuous veno-venous hemodialysis with regional citrate anticoagulation: A prospective randomized controlled trial,https://pubmed.ncbi.nlm.nih.gov/31026303/,31026303,PMC6485708,10.1371/journal.pone.0215823,https://pmc.ncbi.nlm.nih.gov/articles/PMC6485708/,rct_expansion/publications/trial67/trial67_plos_middle_molecule.pdf,Downloaded,PubMed/PMC match found; PLOS printable PDF downloaded.
68,A randomized controlled trial of a brain-computer interface based attention training program for ADHD,https://pubmed.ncbi.nlm.nih.gov/31112554/,31112554,PMC6528992,10.1371/journal.pone.0216225,https://pmc.ncbi.nlm.nih.gov/articles/PMC6528992/,rct_expansion/publications/trial68/trial68_plos_bci_adhd.pdf,Downloaded,PubMed/PMC match found; PLOS printable PDF downloaded.
